n	s	r	c	well	well_waste	series	conc_fluorophore	conc_dna	vol	amt_fluorophore	amt_dna	needle_wash	sheath	x	y	z	intensity	plate_reader	qpcr
0	0	0	0	A01	A01	waste								2.493	12.749	-0.85	-	-	-
1	1	0	1	A02	A02	waste								11.493	12.749	-0.85	-	-	-
2	2	0	2	A03	A03	waste								20.493	12.749	-0.85	-	-	-
3	3	0	3	A04	A04	waste								29.493	12.749	-0.85	-	-	-
4	4	0	4	A05	A05	waste								38.493	12.749	-0.85	-	-	-
5	5	0	5	A06	A06	waste								47.493	12.749	-0.85	-	-	-
6	6	0	6	A07	A07	waste								56.493	12.749	-0.85	-	-	-
7	7	0	7	A08	A08	waste								65.493	12.749	-0.85	-	-	-
8	8	0	8	A09	A09	waste								74.493	12.749	-0.85	-	-	-
9	9	0	9	A10	A10	waste								83.493	12.749	-0.85	-	-	-
10	10	0	10	A11	A11	waste								92.493	12.749	-0.85	-	-	-
11	11	0	11	A12	A12	waste								101.493	12.749	-0.85	-	-	-
12	23	1	0	B01	A01	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	21.749	-0.85			
13	22	1	1	B02	A02	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	21.749	-0.85			
14	21	1	2	B03	A03	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	20.493	21.749	-0.85			
15	20	1	3	B04	A04	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	29.493	21.749	-0.85			
16	19	1	4	B05	A05	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	38.493	21.749	-0.85			
17	18	1	5	B06	A06	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	47.493	21.749	-0.85			
18	17	1	6	B07	A07	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	56.493	21.749	-0.85			
19	16	1	7	B08	A08	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	65.493	21.749	-0.85			
20	15	1	8	B09	A09	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	74.493	21.749	-0.85			
21	14	1	9	B10	A10	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	83.493	21.749	-0.85			
