n	s	r	c	well	contents	vial	x	y	z
0	0	0	0	A01		1	0	0	0
1	1	0	1	A02			17	0	0
2	2	0	2	A03		2	34	0	0
3	3	0	3	A04			51	0	0
4	4	0	4	A05		3	68	0	0
5	5	0	5	A06			85	0	0
6	11	1	0	B01			0	12.143	0
7	10	1	1	B02			17	12.143	0
8	9	1	2	B03			34	12.143	0
9	8	1	3	B04			51	12.143	0
10	7	1	4	B05			68	12.143	0
11	6	1	5	B06			85	12.143	0
12	12	2	0	C01	waste1		0	24.286	0
13	13	2	1	C02		6	17	24.286	0
14	14	2	2	C03			34	24.286	0
15	15	2	3	C04		5	51	24.286	0
16	16	2	4	C05			68	24.286	0
17	17	2	5	C06		4	85	24.286	0
18	23	3	0	D01			0	36.429	0
19	22	3	1	D02			17	36.429	0
20	21	3	2	D03			34	36.429	0
21	20	3	3	D04			51	36.429	0
22	19	3	4	D05			68	36.429	0
23	18	3	5	D06			85	36.429	0
24	24	4	0	E01		7	0	48.572	0
25	25	4	1	E02			17	48.572	0
26	26	4	2	E03		8	34	48.572	0
27	27	4	3	E04			51	48.572	0
28	28	4	4	E05		9	68	48.572	0
29	29	4	5	E06	waste2		85	48.572	0
30	35	5	0	F01			0	60.715	0
31	34	5	1	F02			17	60.715	0
32	33	5	2	F03			34	60.715	0
33	32	5	3	F04			51	60.715	0
34	31	5	4	F05			68	60.715	0
35	30	5	5	F06			85	60.715	0
36	36	6	0	G01			0	72.858	0
37	37	6	1	G02			17	72.858	0
38	38	6	2	G03			34	72.858	0
39	39	6	3	G04			51	72.858	0
40	40	6	4	G05			68	72.858	0
41	41	6	5	G06			85	72.858	0
42	47	7	0	H01			0	85.001	0
43	46	7	1	H02			17	85.001	0
44	45	7	2	H03			34	85.001	0
45	44	7	3	H04			51	85.001	0
46	43	7	4	H05			68	85.001	0
47	42	7	5	H06			85	85.001	0
