n	s	r	c	well	name	conc_fluorophore	conc_dna	x	y	z
0	0	0	0	A01	waste0			2.493	12.749	-0.85
1	1	0	1	A02	waste1			11.493	12.749	-0.85
2	2	0	2	A03	waste2			20.493	12.749	-0.85
3	3	0	3	A04	waste3			29.493	12.749	-0.85
4	4	0	4	A05	waste4			38.493	12.749	-0.85
5	5	0	5	A06	waste5			47.493	12.749	-0.85
6	6	0	6	A07	waste6			56.493	12.749	-0.85
7	7	0	7	A08	waste7			65.493	12.749	-0.85
8	8	0	8	A09	waste8			74.493	12.749	-0.85
9	9	0	9	A10	waste9			83.493	12.749	-0.85
10	10	0	10	A11	waste10			92.493	12.749	-0.85
11	11	0	11	A12	waste11			101.493	12.749	-0.85
12	23	1	0	B01				2.493	21.749	-0.85
13	22	1	1	B02				11.493	21.749	-0.85
14	21	1	2	B03				20.493	21.749	-0.85
15	20	1	3	B04				29.493	21.749	-0.85
16	19	1	4	B05				38.493	21.749	-0.85
17	18	1	5	B06				47.493	21.749	-0.85
18	17	1	6	B07				56.493	21.749	-0.85
19	16	1	7	B08				65.493	21.749	-0.85
20	15	1	8	B09				74.493	21.749	-0.85
21	14	1	9	B10				83.493	21.749	-0.85
22	13	1	10	B11				92.493	21.749	-0.85
23	12	1	11	B12				101.493	21.749	-0.85
24	24	2	0	C01				2.493	30.749	-0.85
25	25	2	1	C02				11.493	30.749	-0.85
26	26	2	2	C03				20.493	30.749	-0.85
27	27	2	3	C04				29.493	30.749	-0.85
28	28	2	4	C05				38.493	30.749	-0.85
29	29	2	5	C06				47.493	30.749	-0.85
30	30	2	6	C07				56.493	30.749	-0.85
31	31	2	7	C08				65.493	30.749	-0.85
32	32	2	8	C09				74.493	30.749	-0.85
33	33	2	9	C10				83.493	30.749	-0.85
34	34	2	10	C11				92.493	30.749	-0.85
35	35	2	11	C12				101.493	30.749	-0.85
36	47	3	0	D01				2.493	39.749	-0.85
37	46	3	1	D02				11.493	39.749	-0.85
38	45	3	2	D03				20.493	39.749	-0.85
39	44	3	3	D04				29.493	39.749	-0.85
40	43	3	4	D05				38.493	39.749	-0.85
41	42	3	5	D06				47.493	39.749	-0.85
42	41	3	6	D07				56.493	39.749	-0.85
43	40	3	7	D08				65.493	39.749	-0.85
44	39	3	8	D09				74.493	39.749	-0.85
45	38	3	9	D10				83.493	39.749	-0.85
46	37	3	10	D11				92.493	39.749	-0.85
47	36	3	11	D12				101.493	39.749	-0.85
48	48	4	0	E01				2.493	48.749	-0.85
49	49	4	1	E02				11.493	48.749	-0.85
50	50	4	2	E03				20.493	48.749	-0.85
51	51	4	3	E04				29.493	48.749	-0.85
52	52	4	4	E05				38.493	48.749	-0.85
53	53	4	5	E06				47.493	48.749	-0.85
54	54	4	6	E07				56.493	48.749	-0.85
55	55	4	7	E08				65.493	48.749	-0.85
56	56	4	8	E09				74.493	48.749	-0.85
57	57	4	9	E10				83.493	48.749	-0.85
58	58	4	10	E11				92.493	48.749	-0.85
59	59	4	11	E12				101.493	48.749	-0.85
60	71	5	0	F01				2.493	57.749	-0.85
61	70	5	1	F02				11.493	57.749	-0.85
62	69	5	2	F03				20.493	57.749	-0.85
63	68	5	3	F04				29.493	57.749	-0.85
64	67	5	4	F05				38.493	57.749	-0.85
65	66	5	5	F06				47.493	57.749	-0.85
66	65	5	6	F07				56.493	57.749	-0.85
67	64	5	7	F08				65.493	57.749	-0.85
68	63	5	8	F09				74.493	57.749	-0.85
69	62	5	9	F10				83.493	57.749	-0.85
70	61	5	10	F11				92.493	57.749	-0.85
71	60	5	11	F12				101.493	57.749	-0.85
72	72	6	0	G01				2.493	66.749	-0.85
73	73	6	1	G02				11.493	66.749	-0.85
74	74	6	2	G03				20.493	66.749	-0.85
75	75	6	3	G04				29.493	66.749	-0.85
76	76	6	4	G05				38.493	66.749	-0.85
77	77	6	5	G06				47.493	66.749	-0.85
78	78	6	6	G07				56.493	66.749	-0.85
79	79	6	7	G08				65.493	66.749	-0.85
80	80	6	8	G09				74.493	66.749	-0.85
81	81	6	9	G10				83.493	66.749	-0.85
82	82	6	10	G11				92.493	66.749	-0.85
83	83	6	11	G12				101.493	66.749	-0.85
84	95	7	0	H01				2.493	75.749	-0.85
85	94	7	1	H02				11.493	75.749	-0.85
86	93	7	2	H03				20.493	75.749	-0.85
87	92	7	3	H04				29.493	75.749	-0.85
88	91	7	4	H05				38.493	75.749	-0.85
89	90	7	5	H06				47.493	75.749	-0.85
90	89	7	6	H07				56.493	75.749	-0.85
91	88	7	7	H08				65.493	75.749	-0.85
92	87	7	8	H09				74.493	75.749	-0.85
93	86	7	9	H10				83.493	75.749	-0.85
94	85	7	10	H11				92.493	75.749	-0.85
95	84	7	11	H12				101.493	75.749	-0.85
