well,fluorophore,cq,rfu
B01,ROX,NaN,2.35329752822045
B02,ROX,NaN,6.57800623514904
B03,ROX,NaN,1041.11794619323
B04,ROX,NaN,-7.40995849166193
B05,ROX,NaN,-15.6437349580263
B06,ROX,NaN,1095.79543318188
B07,ROX,NaN,5.06527247367731
B08,ROX,NaN,-3.6260367796127
B09,ROX,NaN,918.209872511838
B10,ROX,NaN,5.02440660846123
B11,ROX,NaN,1652.71045939692
B12,ROX,NaN,9.39582371322967
C01,ROX,NaN,-0.382648220916417
C02,ROX,NaN,-6.0672652667221
C03,ROX,NaN,1539.75604882774
C04,ROX,NaN,6.37356897020272
C05,ROX,NaN,-5.11292353347435
C06,ROX,NaN,1778.84652962284
C07,ROX,NaN,6.4203187000503
C08,ROX,NaN,-5.65223384513838
C09,ROX,NaN,633.614159942479
C10,ROX,NaN,4.66098670003366
C11,ROX,NaN,538.793837667082
C12,ROX,NaN,3.37559374867133
D01,ROX,NaN,-2.0507345741411
D02,ROX,NaN,-7.35090547153513
D03,ROX,NaN,804.971846700792
D04,ROX,NaN,-14.3931331916705
D05,ROX,NaN,3.74711486537908
D06,ROX,NaN,2087.95038636545
D07,ROX,NaN,2.00611465137827
D08,ROX,NaN,-3.57167010596213
D09,ROX,NaN,666.599702959252
D10,ROX,NaN,-3.10457252058104
D11,ROX,NaN,641.609918408532
D12,ROX,NaN,-1.79205435774338
E01,ROX,NaN,-6.81446956814452
E02,ROX,NaN,17.1663491856311
E03,ROX,NaN,8.82003273748787
E04,ROX,NaN,8.05351163383448
E05,ROX,NaN,-10.6494742417006
E06,ROX,NaN,0.725077747698469
E07,ROX,NaN,-6.15271662497771
E08,ROX,NaN,2.58199687230417
E09,ROX,NaN,10.630770060814
E10,ROX,NaN,66.8785189772397
E11,ROX,NaN,328.895648564477
E12,ROX,NaN,1268.4025963991
F01,ROX,NaN,3.36958755468759
F02,ROX,NaN,0.0493488677888308
F03,ROX,NaN,-8.58574637004049
F04,ROX,NaN,2.7350512757982
F05,ROX,NaN,-3.63929471737547
F06,ROX,NaN,-4.83874522661699
F07,ROX,NaN,3.35951615669419
F08,ROX,NaN,7.557874192502
F09,ROX,NaN,11.92672034901
F10,ROX,NaN,55.2303747313982
